ID	Title	URL	Topic	Year	Instructor	Venue
353	Conditional random fields - computing the partition function	http://info.usherbrooke.ca/hlarochelle/ift725/3_04_computing_partition_function.pdf	1091	2017s	Hugo Larochelle	Université de Sherbrooke
354	Autoencoder - contractive autoencoder	http://info.usherbrooke.ca/hlarochelle/ift725/6_07_contractive_autoencoder.pdf	1181	2017s	Hugo Larochelle	Université de Sherbrooke
355	Neural networks Conditional random elds - factors, sufcient statistics and linear CRF	http://info.usherbrooke.ca/hlarochelle/ift725/3_07_factors_sufficient_statistics_linear_crf.pdf	1057	2017s	Hugo Larochelle	Université de Sherbrooke
356	Sparse coding - inference (ISTA algorithm)	http://info.usherbrooke.ca/hlarochelle/ift725/8_02_inference_ISTA_algorithm.pdf	1181	2017s	Hugo Larochelle	Université de Sherbrooke
357	Natural language processing - word representations	http://info.usherbrooke.ca/hlarochelle/ift725/10_04_word_representations.pdf	1114	2017s	Hugo Larochelle	Université de Sherbrooke
358	Faster ML Development with TensorFlow	http://introtodeeplearning.com/materials/2018_6S191_Lecture8.pdf	1189	2018	Alexander Amini	MIT
359	Deep Learning Limitations and New Frontiers	http://introtodeeplearning.com/materials/2018_6S191_Lecture6.pdf	1181	2018	Alexander Amini	MIT
360	Deep Generative Models	http://introtodeeplearning.com/materials/2018_6S191_Lecture4.pdf	1181	2018	Alexander Amini	MIT
361	Introduction to Deep Learning	http://introtodeeplearning.com/materials/2018_6S191_Lecture1.pdf	1181	2018	Alexander Amini	MIT
362	Deep Learning for Computer Vision	http://introtodeeplearning.com/materials/2018_6S191_Lecture3.pdf	1338	2018	Alexander Amini	MIT
363	Sequence Modeling with Neural Networks	http://introtodeeplearning.com/materials/2018_6S191_Lecture2.pdf	1182	2018	Alexander Amini	MIT
364	Introduction To Deep Learning	http://introtodeeplearning.com/materials/2018_6S191_Lecture9.pdf	1181	2018	Alexander Amini	MIT
365	Learning+Reasoning	http://introtodeeplearning.com/materials/2018_6S191_Lecture10.pdf	1566	2018	Alexander Amini	MIT
366	Deep Reinforcement Learning	http://introtodeeplearning.com/materials/2018_6S191_Lecture5.pdf	1336	2018	Alexander Amini	MIT
367	Introduction to Machine Learning	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_20.pdf	1066	2018s	Furong Huang	UMD
368	Review and Practice Problems	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_11.pdf	1066	2018s	Furong Huang	UMD
369	Geometry and Nearest Neighbors	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_04.pdf	1153	2018s	Furong Huang	UMD
370	(Sub)gradient Descent	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_14.pdf	1320	2018s	Furong Huang	UMD
371	The Perceptron	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_06.pdf	1157	2018s	Furong Huang	UMD
372	Neural Networks II	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_19.pdf	1181	2018s	Furong Huang	UMD
373	Introduction to Machine Learning	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_01.pdf	1066	2018s	Furong Huang	UMD
374	Unsupervised Learning Principal Component Analysis	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_17.pdf	1026	2018s	Furong Huang	UMD
375	Decision Trees & Limits of Learning	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_03.pdf	1066	2018s	Furong Huang	UMD
376	A Probabilistic View of Machine Learning I	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_15.pdf	1066	2018s	Furong Huang	UMD
377	Practical Issues: Features, Evaluation, Debugging	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_08.pdf	1066	2018s	Furong Huang	UMD
378	Imbalanced Data and Reductions	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_09.pdf	10666	2018s	Furong Huang	UMD
379	K-Means Clustering (Unsupervised Learning)	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_05.pdf	1167	2018s	Furong Huang	UMD
380	Bias and Fairness	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_12.pdf	1066	2018s	Furong Huang	UMD
381	Decision Trees	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_02.pdf	1066	2018s	Furong Huang	UMD
382	A Probabilistic View of Machine Learning II	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_16.pdf	1066	2018s	Furong Huang	UMD
383	Neural Networks I	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_18.pdf	1181	2018s	Furong Huang	UMD
384	The Perceptron	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_07.pdf	1157	2018s	Furong Huang	UMD
385	Deep Learning II	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_21.pdf	1181	2018s	Furong Huang	UMD
386	Multiclass Classification and Reductions	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_10.pdf	1153	2018s	Furong Huang	UMD
387	Binary Classification with Linear Models	http://www.cs.umd.edu/class/spring2018/cmsc422-0101/slides0201/lecture_13.pdf	1153	2018s	Furong Huang	UMD
388	Principal components analysis	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_4-6-17.pdf	1026	2017s	John Paisley	Columbia
389	Unsupervised Learning	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_3-21-17.pdf	1203	2017s	John Paisley	Columbia
390	Maximum Margin Classifiers	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_2-23-17.pdf	1061	2017s	John Paisley	Columbia
391	Bias-Variance Tradeoff	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_1-26-17.pdf	1060	2017s	John Paisley	Columbia
392	Decision Trees	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_2-28-17.pdf	1066	2017s	John Paisley	Columbia
393	Logistic Regression	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_2-16-17.pdf	1058	2017s	John Paisley	Columbia
394	Machine Learning for Data Science	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_1-17-17.pdf	1066	2017s	John Paisley	Columbia
395	Boosting	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_3-2-17.pdf	1055	2017s	John Paisley	Columbia
396	Feature Expansions	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_2-21-17.pdf	1163	2017s	John Paisley	Columbia
397	Linear Classification	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_2-14-17.pdf	1153	2017s	John Paisley	Columbia
398	Hidden Markov Models	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_4-13-17.pdf	1016	2017s	John Paisley	Columbia
399	Least Squares Continued	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_1-24-17.pdf	1158	2017s	John Paisley	Columbia
400	Model Selection	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_4-25-17.pdf	1066	2017s	John Paisley	Columbia
401	Bayesian Linear Regression	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_1-31-17.pdf	1058	2017s	John Paisley	Columbia
402	Markov Chains	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_4-11-17.pdf	1016	2017s	John Paisley	Columbia
403	Markov Models	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_4-18-17.pdf	1016	2017s	John Paisley	Columbia
404	Linear Regression	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_1-19-17.pdf	1158	2017s	John Paisley	Columbia
405	Minimum L2 Regression	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_2-2-17.pdf	1158	2017s	John Paisley	Columbia
406	Soft Clustering vs Hard Clustering	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_3-28-17.pdf	1041	2017s	John Paisley	Columbia
407	Association Analysis	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_4-20-17.pdf	1202	2017s	John Paisley	Columbia
408	Topic Modeling	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_4-4-17.pdf	1179	2017s	John Paisley	Columbia
409	Maximum Likelihood	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_3-23-17.pdf	1555	2017s	John Paisley	Columbia
410	Collaborative Filtering	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_3-30-17.pdf	1066	2017s	John Paisley	Columbia
411	Classification	http://www.columbia.edu/~jwp2128/Teaching/W4721/Spring2017/slides/lecture_2-7-17.pdf	1153	2017s	John Paisley	Columbia
412	Introduction to Machine Learning	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture01.pdf	1066	2017f	Razvan C. Bunescu	Ohio University
413	Optimization	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture03.pdf	1320	2017f	Razvan C. Bunescu	Ohio University
414	k-Nearest Neighbors	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture08.pdf	1153	2017f	Razvan C. Bunescu	Ohio University
415	Fishers Linear Discriminant	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture05.pdf	1555	2017f	Razvan C. Bunescu	Ohio University
416	The Perceptron	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture06.pdf	1157	2017f	Razvan C. Bunescu	Ohio University
417	Canonical Correlation Analysis	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture07.pdf	1317	2017f	Razvan C. Bunescu	Ohio University
418	Machine Learning: Logistic Regression	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture04.pdf	1158	2017f	Razvan C. Bunescu	Ohio University
419	Supervised Learning	http://ace.cs.ohio.edu/~razvan/courses/ml4900/lecture02.pdf	1066	2017f	Razvan C. Bunescu	Ohio University
420	Introduction	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap1.pdf	1066	2014	Ethem AlpaydÄ±n	Boğaziçi University
421	Non-parametric Methods	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap8.pdf	1202	2014	Ethem AlpaydÄ±n	Boğaziçi University
422	Dimensionality Reduction	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap6.pdf	1116	2014	Ethem AlpaydÄ±n	Boğaziçi University
423	Clustering	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap7.pdf	1041	2014	Ethem AlpaydÄ±n	Boğaziçi University
424	Supervised Learning	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap2.pdf	1004	2014	Ethem AlpaydÄ±n	Boğaziçi University
425	Kernel Methods	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap13.pdf	1161	2014	Ethem AlpaydÄ±n	Boğaziçi University
426	Bayesian Decision Theory	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap3.pdf	1330	2014	Ethem AlpaydÄ±n	Boğaziçi University
427	Multivariate Methods	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap5.pdf	1202	2014	Ethem AlpaydÄ±n	Boğaziçi University
428	Decision Trees	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap9.pdf	1066	2014	Ethem AlpaydÄ±n	Boğaziçi University
429	Linear Discrimination	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap10.pdf	1155	2014	Ethem AlpaydÄ±n	Boğaziçi University
430	Parametric Models	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap4.pdf	1202	2014	Ethem AlpaydÄ±n	Boğaziçi University
431	Hidden Markov Models	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap15.pdf	1016	2014	Ethem AlpaydÄ±n	Boğaziçi University
432	Multi-layer perceptrons	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap11.pdf	1157	2014	Ethem AlpaydÄ±n	Boğaziçi University
433	Graphical Models	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap14.pdf	1315	2014	Ethem AlpaydÄ±n	Boğaziçi University
434	Combining Multiple Learners	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap17.pdf	1066	2014	Ethem AlpaydÄ±n	Boğaziçi University
435	Bayesian Estimation	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap16.pdf	1066	2014	Ethem AlpaydÄ±n	Boğaziçi University
436	Local Models	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap12.pdf	1066	2014	Ethem AlpaydÄ±n	Boğaziçi University
437	Reinforcement Learning	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap18.pdf	1336	2014	Ethem AlpaydÄ±n	Boğaziçi University
438	Design and Analysis of Machine Learning Experiments	https://www.cmpe.boun.edu.tr/~ethem/i2ml3e/3e_v1-0/i2ml3e-chap19.pdf	1066	2014	Ethem AlpaydÄ±n	Boğaziçi University
439	Sequential Monte Carlo (Continued) and Conditional Linear Gaussian Models	https://www.dropbox.com/s/z5c5vlfut4mw8ia/Lec21-ConditionalLinearGaussianModels.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
440	Importance Sampling Prof. Nicholas Zabaras	https://www.dropbox.com/s/jv0r65uxy1gty9v/Lec15-ImportanceSampling.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
441	Robbins-Monro for Sequential MLE, Curse of Dimensionality, Conditional and Marginal Gaussian Distributions	https://www.dropbox.com/s/j54clc30s2nthm5/Lec4-RobbinsMonro-CurseOfDimensionality-ConditionalGaussians.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
442	Implementation of Bayesian Regression and Variable Selection	https://www.dropbox.com/s/pk2caw144nvzjcd/Lec12-CaterpillarRegressionExample.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
443	Exponential Family and Generalized Linear Models	https://www.dropbox.com/s/q31dbbt01wqa071/Lec7-ExponentialFamilyGLMBayesianInf4MultivariateGaussian.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
444	Mixture Models and Expectation-Maximization	https://www.dropbox.com/s/im3aw07lwe3eo5h/Lec24-MoreOnExpectationMaximization.pdf?dl=0â€™	1317	2017f	Nicholas Zabaras	Notre  Dame
445	Introduction to Probability and Statistics	https://www.dropbox.com/s/f10vs0qrkh7428a/Lec2-IntroToProbabilityAndStatistics.pdf?dl=0	1555	2017f	Nicholas Zabaras	Notre  Dame
446	Prior and Hierarchical Modeling	https://www.dropbox.com/s/y6m9f11sshugfnw/Lec8-PriorHierarchicalModels.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
447	Introduction to Bayesian Linear Regression, Model Comparison and Selection	https://www.dropbox.com/s/ecp5tkeefd7h47h/Lec9-Intro2RegressionOccamsRazor.pdf?dl=0	1158	2017f	Nicholas Zabaras	Notre  Dame
448	Kernel Methods and Introduction to Gaussian Processes	https://www.dropbox.com/s/2yonhmzn57lvv1d/Lec27-KernelMethods.pdf?dl=0	1158	2017f	Nicholas Zabaras	Notre  Dame
449	Gaussian Processes for Classification Problems, Course Summary	https://www.dropbox.com/s/54pudgwif0zo8mt/Lec28-Summary.pdf?dl=0	1161	2017f	Nicholas Zabaras	Notre  Dame
450	Statistical Computing for Scientists and Engineers	"https://www.dropbox.com/s/121sglcweantr2d/Lec1-IntroToProbabilityAndStatistics.pdf?dl=0"""	1317	2017f	Nicholas Zabaras	Notre  Dame
451	Variable Dimension Models: Reversible Jump MCMC	https://www.dropbox.com/s/i7d28g05ikfpt79/Lec22-ReversibleJumpMCMC.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
452	Continuous Latent Variable Models: Probabilistic and Bayesian PCA,Kernel PCA	https://www.dropbox.com/s/xhe95z6yoic8207/Lec26-ContinuousLatentVariableModels.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
453	Sequential Monte Carlo (Continued) and Conditional Linear Gaussian Models	https://www.dropbox.com/s/z5c5vlfut4mw8ia/Lec21-ConditionalLinearGaussianModels.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
454	Introduction to Bayesian Statistics, Exponential Family of Distributions	https://www.dropbox.com/s/ggwvlumy240o6fk/Lec6-Intro2BayesianStatisticsAndTheExponentialFamily.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
455	Gibbs Sampling	https://www.dropbox.com/s/g2s1g9u9vj6779o/Lec16-GibbsSampling.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
456	Reverse Sampling, Transformation Methods, Composition Methods, Accept-Reject Methods, Stratified/Systematic Sampling	https://www.dropbox.com/s/b18tdp81l9mx45z/Lec14-RandomVariableGeneration.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
457	Information Theory, Multivariate Gaussian, MLE Estimation, Robbins-Monro algorithm	https://www.dropbox.com/s/q23vr7ok2nkc2gg/Lec3-InfoTheory-CLTApplications-MLE.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
458	Introduction to State Space Models and Sequential Importance Sampling	https://www.dropbox.com/s/pb555x6z5i8kxd8/Lec18-Intro2StateSpaceModelsAndSequentialImportanceSampling.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
459	Introduction to Monte Carlo Methods, Sampling from Discrete and Continuum Distributions	https://www.dropbox.com/s/a8wyucgomltz8sa/Lec13-MonteCarloMethods.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
460	Markov Chain Monte Carlo and Metropolis-Hasting Algorithm	https://www.dropbox.com/s/ek4n2cxtr8pfv7x/Lec17-MetropolisHastings.pdf?dl=0	1317	2017f	Nicholas Zabaras	Notre  Dame
461	Principal Component Analysis	https://www.dropbox.com/s/xf20q0jagldxvnj/Lec25-Intro2PCA.pdf?dl=0	1116	2017f	Nicholas Zabaras	Notre  Dame
462	Sequential Importance Sampling with Resampling	https://www.dropbox.com/s/vl10u6yrj7yenny/Lec19-SequentialImportanceSamplingResampling.pdf?dl=0	1555	2017f	Nicholas Zabaras	Notre  Dame
463	Bayesian Linear Regression (continued)	https://www.dropbox.com/s/d6zruv69fmu5wmi/Lec11-RegressionModelsB.pdf?dl=0	1158	2017f	Nicholas Zabaras	Notre  Dame
464	Bayesian Regression	https://www.dropbox.com/s/zt6w0wwmg866xtx/Lec10-RegressionModelsA.pdf?dl=0	1158	2017f	Nicholas Zabaras	Notre  Dame
465	Introduction to Expectation-Maximization (EM)	https://www.dropbox.com/s/2xoalhj26sh4da2/Lec23-IntroductiontoExpectationMaximization.pdf?dl=0	1145	2017f	Nicholas Zabaras	Notre  Dame
466	Likelihood calculations, MAP estimate and Regularized Least Squares, Linear Gaussian Models	https://www.dropbox.com/s/5wethziitk5wzmk/Lec5-Likelihood-MAP-GaussianLinearSystems.pdf?dl=0	1555	2017f	Nicholas Zabaras	Notre  Dame
467	Decision trees	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture11.pdf	1059	2016s	David Sontag	New York University
468	Unsupervised learning (part1)	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture19.pdf	1563	2016s	David Sontag	New York University
469	Gradient, Subgradient and how they may affect your grade(ient)	http://people.csail.mit.edu/dsontag/courses/ml16/slides/notes_convexity16.pdf	1320	2016s	David Sontag	New York University
470	Hierarchical & Spectral clustering	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture13.pdf	1041	2016s	David Sontag	New York University
471	Introduction to Bayesian methods continued 2	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture17.pdf	1330	2016s	David Sontag	New York University
472	Learning theory and Decision trees	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture10.pdf	1568	2016s	David Sontag	New York University
473	Introduction To Machine Learning	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture21.pdf	1066	2016s	David Sontag	New York University
474	Clustering	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture12.pdf	1041	2016s	David Sontag	New York University
475	Introduction to Bayesian methods	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture14.pdf	1330	2016s	David Sontag	New York University
476	Introduction to Bayesian methods continued 1	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture16.pdf	1330	2016s	David Sontag	New York University
477	Introduction to Learning	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture2.pdf	1568	2016s	David Sontag	New York University
478	Learning theory	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture9.pdf	1568	2016s	David Sontag	New York University
479	Support vector machines (SVMs) Lecture 3	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture3.pdf	1038	2016s	David Sontag	New York University
480	Bayesian networks	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture18.pdf	1330	2016s	David Sontag	New York University
481	Support vector machines (SVMs)	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture5.pdf	1038	2016s	David Sontag	New York University
482	Introduction To Machine Learning	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture22.pdf	1559	2016s	David Sontag	New York University
483	L1 regularization & Intro to learning theory	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture8.pdf	1559	2016s	David Sontag	New York University
484	Neural networks	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture24.pdf	1181	2016s	David Sontag	New York University
485	Support vector machines (SVMs)	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture6.pdf	1161	2016s	David Sontag	New York University
486	Introduction to Machine Learning	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture1.pdf	1066	2016s	David Sontag	New York University
487	A History of AI	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture20.pdf	1007	2016s	David Sontag	New York University
488	Machine Learning	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture6_notes.pdf	1066	2016s	David Sontag	New York University
489	Dimensionality Reduction	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture23.pdf	1026	2016s	David Sontag	New York University
490	Support vector machines (SVMs)	http://people.csail.mit.edu/dsontag/courses/ml16/slides/lecture4.pdf	1038	2016s	David Sontag	New York University
491	Support Vector Machines:Introduction	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture11.pdf	1038	2014s	Ansaf Salleb-Aouissi	Columbia University
492	Maximum A Posteriori and Expectation Maximization	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture19.pdf	1314	2014s	Ansaf Salleb-Aouissi	Columbia University
493	EM for GMM	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture21_complement_EM.pdf	1314	2014s	Ansaf Salleb-Aouissi	Columbia University
494	Support Vector Machines: Kernels	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture13.pdf	1038	2014s	Ansaf Salleb-Aouissi	Columbia University
495	Neural Networks	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture9_10.pdf	1181	2014s	Ansaf Salleb-Aouissi	Columbia University
496	Linear classification: Logistic Regression	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture7.pdf	1158	2014s	Ansaf Salleb-Aouissi	Columbia University
497	Mining Frequent Patterns and Association Rules	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture17.pdf	1559	2014s	Ansaf Salleb-Aouissi	Columbia University
498	Bootstrapping and Face Detection Application	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture15.pdf	1066	2014s	Ansaf Salleb-Aouissi	Columbia University
499	K-Means, GMMs and EM	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture21.pdf	1041	2014s	Ansaf Salleb-Aouissi	Columbia University
500	Support Vector Machines: primal, dual forms and soft-margin	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture12.pdf	1161	2014s	Ansaf Salleb-Aouissi	Columbia University
501	Ensemble Methods:Boosting, Bagging and Random Forests	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture14.pdf	1066	2014s	Ansaf Salleb-Aouissi	Columbia University
502	Maximum Likelihood and Gaussian Models	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture16.pdf	1165	2014s	Ansaf Salleb-Aouissi	Columbia University
503	Basic Concepts K-nearest neighbors	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture2.pdf	1066	2014s	Ansaf Salleb-Aouissi	Columbia University
504	Basic Concepts II	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture3.pdf	1066	2014s	Ansaf Salleb-Aouissi	Columbia University
505	Naive Bayes Classifier	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture18.pdf	1004	2014s	Ansaf Salleb-Aouissi	Columbia University
506	Linear Regression, Ridge regression, and Lasso	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture5.pdf	1004	2014s	Ansaf Salleb-Aouissi	Columbia University
507	Tree Classifiers (Decision Trees)	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture8.pdf	1004	2014s	Ansaf Salleb-Aouissi	Columbia University
508	Linear Classification: Perceptron	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture6.pdf	1004	2014s	Ansaf Salleb-Aouissi	Columbia University
509	Mining Frequent Patterns and Association Rules (continued)	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture17_complement.pdf	1559	2014s	Ansaf Salleb-Aouissi	Columbia University
510	Introduction	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture1.pdf	1559	2014s	Ansaf Salleb-Aouissi	Columbia University
511	Naive Bayes: Text Classification	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture20.pdf	1155	2014s	Ansaf Salleb-Aouissi	Columbia University
512	Linear Regression, Least Squares and Gradient Descent	https://courseworks.columbia.edu/access/content/group/COMSW4721_001_2014_1/lecture4.pdf	1004	2014s	Ansaf Salleb-Aouissi	Columbia University
513	Introduction	http://www.cs.toronto.edu/~rgrosse/courses/csc421_2019/slides/lec01.pdf	1066	2019	Roger Grosse	University of Toronto
514	Linear Models	http://www.cs.toronto.edu/~rgrosse/courses/csc421_2019/slides/lec02.pdf	1085	2019	Roger Grosse	University of Toronto
515	Multilayer Perceptrons	http://www.cs.toronto.edu/~rgrosse/courses/csc421_2019/slides/lec03.pdf	1157	2019	Roger Grosse	University of Toronto
516	Backpropagation	http://www.cs.toronto.edu/~rgrosse/courses/csc421_2019/slides/lec04.pdf	1181	2019	Roger Grosse	University of Toronto
517	Distributed Representations	http://www.cs.toronto.edu/~rgrosse/courses/csc421_2019/slides/lec05.pdf	1186	2019	Roger Grosse	University of Toronto
